ECU_ID,Manufacturing_Line_ID,Process_Stage,Temperature,Pressure,Speed,Alignment_Tolerance,Voltage,Current,Defect_Rate_in_Batch,Material_Quality_Indicator,Assembly_Errors,Quality_Check_Results,Production_Time,Rework_Count,Factory_Temperature,Humidity_Levels,Operator_ID,Historical_Failure_Rate,Anomaly_Score,Manufacturing_Error
ECU_1,Line_A,Assembly,237.14,0.81,27.62,0.084,4.61,0.95,3.17,Medium,0,Fail,17.78,0,33.07,44.93,Operator_18,1.25,0.33,1
ECU_2,Line_C,Packaging,213.35,1.24,82.5,0.051,5.0,1.04,0.85,Medium,4,Pass,11.02,0,23.59,66.79,Operator_18,1.44,0.97,0
ECU_3,Line_A,Soldering,258.0,1.03,31.02,0.092,3.48,1.21,3.95,Medium,3,Pass,10.4,1,34.99,47.3,Operator_7,5.84,0.47,0
ECU_4,Line_B,Soldering,240.16,1.22,59.72,0.091,3.27,0.42,0.52,High,0,Fail,8.7,0,24.95,36.29,Operator_14,3.32,0.17,1
ECU_5,Line_A,Packaging,287.25,0.82,55.3,0.08,4.8,0.41,0.54,Low,5,Fail,13.1,2,32.55,32.56,Operator_17,0.67,0.1,0
ECU_6,Line_A,Packaging,171.73,1.1,24.4,0.052,3.49,0.81,1.14,Low,5,Pass,10.27,2,27.4,55.73,Operator_14,8.63,0.4,1
ECU_7,Line_C,Packaging,180.75,1.05,60.74,0.038,4.05,1.07,2.76,Medium,2,Pass,8.35,3,27.43,46.95,Operator_16,5.96,0.71,1
ECU_8,Line_A,Assembly,188.35,1.29,20.37,0.021,3.08,0.15,2.98,High,0,Fail,17.03,1,31.82,41.41,Operator_12,9.02,1.0,0
ECU_9,Line_C,Assembly,184.59,1.4,67.11,0.056,3.29,1.25,3.99,Low,1,Fail,7.45,2,25.22,52.76,Operator_7,0.09,0.16,1
ECU_10,Line_A,Assembly,230.32,1.27,86.51,0.064,4.61,0.7,4.93,Medium,3,Pass,12.32,0,30.12,37.44,Operator_14,2.96,0.77,1
ECU_11,Line_A,Testing,230.16,1.08,97.64,0.034,3.46,1.43,3.24,Medium,3,Pass,17.74,1,29.79,41.12,Operator_16,7.09,0.75,0
ECU_12,Line_A,Packaging,150.23,1.46,38.31,0.028,3.69,1.01,2.59,High,3,Pass,14.84,1,31.66,39.81,Operator_14,9.49,0.37,1
ECU_13,Line_B,Testing,237.3,0.92,82.55,0.029,3.22,0.39,3.32,High,5,Pass,18.67,0,33.8,49.17,Operator_4,3.74,0.04,0
ECU_14,Line_B,Packaging,263.55,0.91,90.63,0.037,4.5,1.13,0.26,Medium,1,Pass,12.14,1,23.72,30.1,Operator_20,8.81,0.92,0
ECU_15,Line_A,Soldering,177.58,1.12,20.19,0.025,3.75,0.95,4.22,Medium,2,Fail,7.85,1,29.11,31.79,Operator_13,3.94,0.83,0
ECU_16,Line_B,Packaging,210.72,0.85,90.86,0.052,4.72,1.11,1.97,Low,1,Pass,18.75,2,22.66,40.77,Operator_2,1.88,0.11,1
ECU_17,Line_C,Packaging,245.89,1.18,50.51,0.051,3.88,0.69,2.81,Medium,2,Pass,5.29,0,30.07,48.27,Operator_13,8.61,0.89,0
ECU_18,Line_C,Testing,253.89,1.46,23.37,0.065,4.11,0.23,1.02,Low,4,Fail,9.8,3,31.8,43.0,Operator_3,7.85,0.8,0
ECU_19,Line_A,Soldering,214.84,0.82,74.76,0.078,4.68,1.32,3.85,High,3,Fail,12.39,3,34.37,41.18,Operator_20,3.39,0.44,0
ECU_20,Line_B,Packaging,256.4,1.45,48.68,0.04,3.9,0.95,0.37,High,1,Pass,10.5,2,23.55,52.08,Operator_6,4.55,0.61,1
ECU_21,Line_B,Testing,299.45,0.91,43.41,0.09,4.78,0.24,4.45,Low,5,Fail,7.15,1,20.46,68.39,Operator_14,5.11,0.39,1
ECU_22,Line_C,Assembly,224.56,1.34,73.52,0.017,4.23,0.13,1.52,High,2,Pass,12.73,1,20.3,42.9,Operator_19,0.77,0.38,0
ECU_23,Line_A,Packaging,198.03,1.01,28.36,0.1,3.94,0.44,2.14,Medium,5,Fail,19.23,1,21.32,65.5,Operator_10,0.32,0.76,0
ECU_24,Line_B,Soldering,279.46,1.41,50.16,0.076,3.21,1.11,3.9,High,2,Fail,13.52,1,29.43,64.41,Operator_8,4.19,0.28,1
